conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,scopeNote,description
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,hospitality revenue manager,yield manager;hospitality yields manager;hospitality revenues manager;revenue manager,,,"Hospitality revenue managers maximise revenue generated from facilities such as hotels, holiday resorts and camping grounds by analysing trends and competition. They assist establishment managers in strategic decisions. Hospitality revenue managers analyse and optimise the financial potential of facilities and manage the corresponding staff."
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,housing policy officer,policy officer;housing policy analyst;affordable housing policy officer;housing policy development officer;senior housing policy officer;housing policy advisor;planning and housing;housing policy researcher;housing policy and strategy officer,,,"Housing policy officers research, analyse and develop housing policies which enable affordable and adequate housing for all. They implement these policies to improve the housing situation of the population by measures such as building affordable housing, supporting people to buy real estate and improving conditions in existing housing. Housing policy officers work closely with partners, external organisations or other stakeholders and provide them with regular updates."
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,2641,medical writer,healthcare writer;medical information analyst;medical editor;regulatory medical writer;medical publications associate;medical technical writer;research medical writer,,,"Medical writers produce and process scientific documents related to medical affairs. Work alongside scientists, doctors and other healthcare professionals."
http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,2529,ICT security administrator,CISO;IT security administrator;information security administrator;ICT security administrators;network security administrator;system security administrator,,,"ICT security administrators plan and carry out security measures to protect information and data from unauthorised access, deliberate attack, theft and corruption."
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,2512,software analyst,software requirement analyst;programming analyst;software analysts;programmer analyst;application analyst;software requirements analyst;analyst of software,,,"Software analysts elicit and prioritise user requirements, produce and document software specifications, test their application, and review them during software development. They act as the interface between the software users and the software development team."
http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,2422,procurement category specialist,procurement associate category specialist;market specialist;supply specialist;associate category specialist;category specialist,,,"Procurement category specialists are experts in specific markets and contract types and provide advanced knowledge of a particular category of supplies, services or works. They help internal or external clients to increase value for money and end users' satisfaction through their advanced knowledge of the suppliers and their offering."
http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,2632,criminologist,criminology scientist;criminology research scientist;criminology studies scientist;criminology studies research scientist;criminology researcher;criminology studies researcher;criminologists;criminology studies scholar;criminology science researcher;criminology scholar,,,Criminologists study conditions pertaining to humans such as the social and psychological aspects that could lead them to commit criminal acts. They observe and analyse different factors ranging from behavioural conditions up to social background and environment of suspects in order to advise organisations on the prevention of crime.
http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,2423,recruitment consultant,job placement officer;temporary labour officer;employment agent;employee recruiter;job placement consultant;temporary labour agent;recruiting process consultant;head hunter;recruitment officer,,,"Recruitment consultants provide the suitable candidates to employers according to the specific job profile requested. They perform testing and interviewing with job seekers, shortlist few candidates to present to the employers and match candidates to appropriate jobs. Recruitment consultants maintain relationships with employers to offer their services on a more long-term basis."
http://data.europa.eu/esco/occupation/076d23f3-a689-4f1a-8b55-ae870c9aaa85,2413,securities analyst,securities research analyst;corporate securities research analyst;bonds analyst;stock analyst;securities research director;rating analyst;shares analyst,,,"Securities analysts perform research activities to gather and analyse financial, legal and economic information. They interpret data on the price, stability and future investment trends in a certain economic area and make recommendations and forecasts to business clients."
http://data.europa.eu/esco/occupation/07bd65d7-c13f-443a-bdf6-88903f3822be,2612,judge,adjudicator;recorder;investigating magistrate;inquisitorial magistrate;appeal court judge;high court judge;district judge;examining magistrate;circuit judge;youth court judge;family court judge;deputy circuit judge,,,"Judges preside over, review and handle court cases, hearings, appeals and trials. They ensure that court procedures conform to conventional legal processes and review evidence and juries. Judges preside over cases involving such areas as crime, family issues, civil law, small claims and juvenile offenses."
http://data.europa.eu/esco/occupation/07e60525-1aad-4099-aaf3-2c7014c92212,2511,integration engineer,IT integration engineer;ICT integration engineers;system integration engineer;software integration engineer,,Includes people performing managerial activities.,Integration engineers develop and implement solutions which coordinate applications across the enterprise or its units and departments. They evaluate existing components or systems to determine integration requirements and ensure that the final solutions meet organisational needs. They reuse components when possible and assist management in taking decisions. They perform ICT system integration troubleshooting.
http://data.europa.eu/esco/occupation/092fdeeb-a76f-4ed2-b248-90fd6eaaffef,2513,search engine optimisation expert,search engine optimisation experts;search engine optimization expert;search engine optimisation specialist;search engine optimiser;SEO expert;SEO specialist;inbound marketer;growth hacker;search engine marketing specialist;search engine optimisation consultant;SEO experts,,,Search engine optimisation experts increase the ranking of a company's web pages with regard to target queries in a search engine. They create and launch SEO campaigns and identify areas of improvement. Search engine optimisation experts may conduct pay per click (PPC) campaigns.
http://data.europa.eu/esco/occupation/094e04fd-3039-4615-850b-b232794f84f5,2635,youth information worker,youth counsellor;youth mentor;youth advisor;youth information consultant;youth information provider;youth consultant;extracurricular manager;youth information expert;field information worker;youth agent;school youth worker;youth moderator;youth informant;information and youth advice technician;youth project consultant;information mission leader;youth facilitator;youth career consultant;youth centre director;youth information animator,sexual health consultant;youth policy manager;youth operator;eurodesk mobility advisor;youth animator;youth technician;youth Information researcher;youth professional;youth officer;hobby manager;youth coach;youth entertainer;youth worker;youth content producer;youth broker;youth trainer;youth supporter;youth planner,,"Youth information workers deliver youth information, guidance and counselling services in a variety of settings in order to empower young people and support their wellbeing and autonomy. They ensure that those services are accessible, resourced and welcoming for young people and run activities aimed at reaching the entire youth population, by means that are effective and appropriate for different groups and needs. Youth information workers aim to enable young people to make their own informed choices and become active citizens. They work in close partnership with other services."
http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d,2519,ICT test analyst,IT test analyst;test designer,,,"ICT test analysts work in testing environments, assessing products, checking for quality and accuracy, or creating tests scripts. They design tests which are then implemented by testers."
http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e,2424,corporate trainer,corporate education professional;professional development coach;trainer of corporate employees;corporate professional trainer;workplace training specialist;skills development coach;in-company trainer;skill development trainer;educational planner;trainer in corporate sector;skill development coach;corporate training specialist,,,"Corporate trainers train, coach, and guide employees of a company to teach and improve their skills, competences and knowledge in accordance with the needs of the company. They develop the existing potential of the employees to increase their efficiency, motivation, job satisfaction, and employability."
http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,2529,digital forensics expert,computer forensics consultant;computer forensics investigator;computer forensics expert;digital forensics analyst;digital forensics specialist;digital forensics experts;ICT forensics expert;digital forensic expert;cyber forensics expert;cybersecurity analyst;information forensics expert;cybersecurity and forensic specialist,,,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information."
http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4,2529,cyber incident responder,ICT security consultant;cyber crisis expert;information technology security consultant;security operations center analyst;cyber incident handler;information communications technology security consultant;cyber fighter;IT security expert;incident response engineer;ICT security engineer;cybersecurity SIEM manager;ICT security advisor;IT security advisor;security architect;security operation analyst;SOC Analyst;consultant in ICT security activities;cyber defender;IT security consultant;ICT security architect,,,"Cyber incident responders monitor and assess cybersecurity state systems, analysing, evaluating, and mitigating the impact of cybersecurity incidents. Moreover, they identify malicious actors and cyber incidents root causes. According to the organisation’s Incident Response Plan, they restore systems and process functionalities to an operational state, collecting evidence and documenting actions taken."
http://data.europa.eu/esco/occupation/0d423a2e-6fb7-4704-8544-bd6c522b3c62,2635,child care social worker,social worker (children and families);childcare social worker;social worker family safeguarding team;children's social worker;child protection social worker;social worker (looked after children);social worker (child protection);social worker (child care);children's services practitioner,,,Child care social workers provide social services to children and their families in order to improve their social and psychological functioning. They aim to maximize family's well-being and protect children from abuse and neglect. They assist adoption arrangements and find foster homes where needed.
http://data.europa.eu/esco/occupation/0ecedad1-1144-45ff-83db-a3c4db393036,2412,investment manager,investments manager;investment executive;investment consultant;portfolio analyst;investments portfolio manager;global investment manager;investment portfolio manager,,"Includes people performing financial planning, strategy and research.","Investment managers administer the portfolio of investments that a company has. They perform close follow up of the investments looking for the most profitable solutions represented in financial products or securities. They analyse behaviour in financial markets, interests rates, and the companies' position in order to advise on risks and profitability for the client."
http://data.europa.eu/esco/occupation/102e75c8-3b47-4964-9b47-30a980aed25c,2519,ICT disaster recovery analyst,business continuity analyst;ICT resilience analysts;IT resilience analyst;IT disaster recovery analyst;business continuity strategist;disaster recovery officer,,Excludes people performing development activities.,"ICT disaster recovery analysts develop, maintain, and implement ICT continuity and disaster recovery strategies and solutions. They support the technical teams, assess the risks, design and develop procedures, documentation and strategies for disaster recovery in order for business functions to continue and recover with a minimal loss of data. They also coordinate the system backups tests and validations."
http://data.europa.eu/esco/occupation/10469d70-78a3-4650-9e29-d04de13c62c1,2511,embedded system designer,embedded system programmer;embedded systems designers;embedded software developer;embedded system developer;embedded systems programmer;battery controls engineer;embedded systems developer;embedded systems engineer,,Excludes people performing programming and coding activities.,Embedded system designers translate and design requirements and the high-level plan or architecture of an embedded control system according to technical software specifications.
http://data.europa.eu/esco/occupation/106f79e4-6264-45f1-9e7a-297435cd684b,2519,software tester,module tester;application tester;soft tester;application software tester;software testing specialist;unit tester;software testers;software application tester;tester,,Excludes people performing managerial activities.,Software testers perform software tests. They may also plan and design them. They may also debug and repair software although this mainly corresponds to designers and developers. They ensure that applications function properly before delivering them to internal and external clients.
http://data.europa.eu/esco/occupation/114e1eff-215e-47df-8e10-45a5b72f8197,2433,renewable energy consultant,sustainable energy market consultant;renewable energy survey consultant;renewable energy market consultant;sustainable energy consultant;sustainable energy technical consultant;renewable energy research consultant;sustainable energy survey consultant;renewable energy technical consultant;sustainable energy research consultant,,,"Renewable energy consultants advise clients on the advantages and disadvantages of different renewable energy sources. They conduct surveys and interviews to research demand of and opinions on renewable energy, and strive to advise clients on the most advantageous source of renewable energy for their purpose."
http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,2632,sociologist,urban sociology science researcher;sociologists;rural sociology science researcher;urban sociology analyst;sociology science researcher;economic sociology research analyst;rural sociology research analyst;sociology research analyst;sociology analyst;urban sociology research scientist;economic sociology researcher;economic sociology analyst;sociology researcher;urban sociology research analyst;economic sociologist;urban sociology scholar;urban sociology scientist;sociology scientist;economic sociology science researcher;rural sociology analyst;intercultural communications adviser;rural sociology scientist;urban sociologist;rural sociologist;rural sociology scholar;economic sociology scholar;law sociologist;rural sociology research scientist;urban sociology researcher;economic sociology research scientist;family and consumer science researcher;sociology scholar;economic sociology scientist;rural sociology researcher;sociology research scientist;gerontologist,,,"Sociologists focus their research on explaining social behaviour and the way people have organised themselves as a society. They research and explain the way societies have evolved by describing their legal, political, and economic systems and their cultural expressions."
http://data.europa.eu/esco/occupation/12ff7f9c-c5b5-4d4a-b585-c350dd1400eb,2631,business economics researcher,fiscal economics strategist;economic analyst;fiscal economics analyst;business advisor;financial market advisor;business research scientist;business researcher;financial market economist;fiscal economics researcher;business analyst;business economy researcher;economic advisor;business economist;fiscal economics advisor;financial market researcher,,,"Business economics researchers conduct research on topics regarding economy, organisations, and strategy. They analyse macroeconomic and microeconomic trends and use this information to analyse the positions of industries or specific companies in the economy. They provide advice regarding strategic planning, product feasibility, forecast trends, emerging markets, taxing policies, and consumer trends."
http://data.europa.eu/esco/occupation/133ab775-f08d-4bc7-8629-89d286180f4e,2431,employer branding manager,branding manager;corporate communications manager,,,Employer branding managers collaborate with marketing experts to promote an employer's image through communication formats such as print and social media. Manage an online marketing program to promote job openings and career opportunities at the company.
http://data.europa.eu/esco/occupation/13427968-250b-4967-a682-afac5cd0af4f,2432,campaign canvasser,campaign worker;political party activist;canvasser;political campaign canvasser;party activist;political party volunteer;campaign canvass worker;party campaigner;political canvasser,,,"Campaign canvassers operate on field level to persuade the public to vote for the political candidate they represent. They engage in direct conversation with the public in public places, and gather information on the public's opinion, as well as perform activities ensuring that information on the campaign reaches a wide audience."
http://data.europa.eu/esco/occupation/137b1d11-c4bc-4016-89ba-45345d4c71f0,2432,online community manager,online reachout manager;digital community manager;online community specialist;interactive media specialist;online content and community manager;online community managers;social media strategist;social media specialist;social media manager;social media reachout manager,,,"Online community managers provide and maintain an interactive environment facilitated by applications such as social media, forums and wikis. They maintain the relations between different digital communities."
http://data.europa.eu/esco/occupation/1562c7a3-c7d9-419d-b9b6-db26610bcf84,2521,data warehouse designer,data warehouse architect;data warehouse developer,,,"Data warehouse designers are responsible for planning, connecting, designing, scheduling, and deploying data warehouse systems. They develop, monitor and maintain ETL processes, reporting applications and data warehouse design."
http://data.europa.eu/esco/occupation/1619d7f3-7d95-407c-a20e-47745bfcde73,2619,data protection officer,data compliance officer;data protection and security officer;DPO;compliance officer data privacy;privacy protection officer;data protection legal advisor;data protection advisor;privacy officer;GDPR expert;data protection counsel;legal and data protection officer;data protection specialist,,,"Data protection officers ensure that the processing of personal data in an organisation is compliant with data protection standards and with the obligations set out in the applicable legislation such as GDPR. They elaborate and implement the organisation policy related to data protection, are responsible for data protection impact assessments and handle complaints and requests from third parties and regulatory agencies. Data protection officers lead investigations into potential data breaches, conduct internal audits and act as point of contact within the organisation on any matters related to the processing of personal data. Data protection officers may develop training programmes and provide training to other employees on data protection procedures."
