conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,scopeNote,description
http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,skill/competence,sector-specific,apply anti-oppressive practices,make use of anti-oppressive practices;use anti-oppressive practices;apply non-oppressive practices;apply anti-oppresive practice;identify oppression in societies and groups;apply an anti-oppressive practice;act in a non-oppressive way,,,"Identify oppression in societies, economies, cultures, and groups, acting as a professional in an non-oppressive way, enabling service users to take action to improve their lives and enabling citizens to change their environment in accordance with their own interests."
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,skill/competence,cross-sector,identify available services,determine available services;classify available services;classify rehabilitation services;analyse rehabilitation services;establish rehabilitation services;establish available services;determine rehabilitation services;analyse available services,,,"Identify the different services available for an offender during probation in order to help in the rehabilitation and re-integration process, as well as advising the offenders as to how they can identify services available to them."
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,Haskell,Haskell techniques,,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell."
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,skill/competence,cross-sector,apply diplomatic principles,administer diplomatic principles;implement diplomatic principles;utilise diplomacy principles;administer diplomacy principles;use diplomatic principles;use diplomacy principles;utilise diplomatic principles;implement diplomacy principles,,,"Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home government's interests, and facilitating compromise."
http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,skill/competence,sector-specific,perform street interventions in social work,conduct outreach activites;carry out street interventions in social work;perform street-intervention in social-work;perform street intervention in social-work;perform street-intervention in social work;do street interventions in social work,,,"Conduct outreach activities by providing direct information or counselling services to individuals in their neighbourhood or in the streets, usually targeted at youth or homeless people."
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,skill/competence,cross-sector,influence public policies,convince policymakers to change policies;communicate with policymakers for lobbying aims;communicate with policymakers to influence policies;lobbying for public policies;communicate with policymakers for lobbying purposes,,,Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause.
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,knowledge,sector-specific,enterprise risk management,ERM;enterprise risk management process,,,"A plan-based business strategy that aims to identify, assess, and prepare for any dangers, hazards, and other potentials for disaster, both physical and figurative, that may interfere with an organization's operations and objectives."
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,skill/competence,cross-sector,apply credit risk policy,administer credit risk policy;apply a credit risk policy;credit risk policy application;implement credit risk policy;utilise credit risk policy;employ credit risk policy,,,Implement company policies and procedures in the credit risk management process. Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure.
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,skill/competence,cross-sector,draft scientific or academic papers and technical documentation,create technical documentation;create technical documentation and academic writings;write technical documentation;write scientific and academic papers,,,"Draft and edit scientific, academic or technical texts on different subjects."
http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,skill/competence,sector-specific,guarantee customer satisfaction,ensure customer satisfaction;promise customer satisfaction;customer satisfaction guarantee;assure customer satisfaction;guaranteeing customer satisfaction;provide customer satisfaction,,,"Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty."
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,skill/competence,sector-specific,purchase vehicle parts,carrying out parts purchasing;complete parts purchasing;carry out parts purchases;make parts purchasing;oversee parts purchasing;carry out parts purchasing;carry out part purchasing;undertake parts purchasing,,,Order specific parts required for maintenance and repair of a wide variety of vehicles.
http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,skill/competence,cross-sector,develop blockchain innovative architectures,build innovative blockchain architectures,,,Develop new blockchain architectures that address properties and priorities as they are needed by specific applications. Argue the advantages and shortcomings of such new architectures with respect to existing ones.
http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,skill/competence,sector-specific,keep up to date on product knowledge,keep posted on product knowledge,,,"Gather the latest information on developments related to the existing or supported products, methods or techniques."
http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,knowledge,sector-specific,network engineering,network architecture,,,"The subfield of computer technology that concerns the managing the connectivity of networks through data, voice, calls and wireless network services."
